Assessment Name,URL,Remote Testing,Adaptive/IRT,Test Type,Description,Duration,Embedding text
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,K,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.
The Job levels: Manager, Mid-Professional, Professional Individual Contributor, Supervisor,
Languages allowed: English (USA),",9,"Cyber Risk (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.
The Job levels: Manager, Mid-Professional, Professional Individual Contributor, Supervisor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 9 minutes."
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,Yes,No,S,"Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.
The Job levels: Entry-Level,
Languages allowed: English (USA),",4,"Data Entry (New) is an SHL assessment designed to evaluate Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.
The Job levels: Entry-Level,
Languages allowed: English (USA),.
It falls under the category of 'S', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 4 minutes."
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,K,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.
The Job levels: Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level,
Languages allowed: English (USA),",5,"Data Entry Alphanumeric Split Screen - US is an SHL assessment designed to evaluate The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.
The Job levels: Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 5 minutes."
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,K,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.
The Job levels: Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager,
Languages allowed: English (USA),",5,"Data Entry Numeric Split Screen - US is an SHL assessment designed to evaluate The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.
The Job levels: Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 5 minutes."
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,K,"Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.
The Job levels: Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",3,"Data Entry Ten Key Split Screen is an SHL assessment designed to evaluate Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.
The Job levels: Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 3 minutes."
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",14,"Data Science (New) is an SHL assessment designed to evaluate Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 14 minutes."
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,K,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",25,"Data Warehousing Concepts is an SHL assessment designed to evaluate The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 25 minutes."
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,P,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase
The Job levels: Entry-Level,
Languages allowed: Portuguese (Brazil), Chinese Traditional, Danish, Dutch, Finnish, French, German, Icelandic, Chinese Simplified, English International, Italian, Latin American Spanish, Polish, Swedish, English (USA), Norwegian, Russian,",10,"Dependability and Safety Instrument (DSI) is an SHL assessment designed to evaluate The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase
The Job levels: Entry-Level,
Languages allowed: Portuguese (Brazil), Chinese Traditional, Danish, Dutch, Finnish, French, German, Icelandic, Chinese Simplified, English International, Italian, Latin American Spanish, Polish, Swedish, English (USA), Norwegian, Russian,.
It falls under the category of 'P', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 10 minutes."
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,Yes,No,K,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",3,"Dermatology (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 3 minutes."
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,Yes,No,K,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",8,"Desktop Support (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 8 minutes."
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Yes,No,K,"Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.
The Job levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,
Languages allowed: English (USA),",7,"Digital Advertising (New) is an SHL assessment designed to evaluate Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.
The Job levels: Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 7 minutes."
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,Yes,No,P,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.

Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (see Digital Readiness Report - Managers).
The Job levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",,"Digital Readiness Development Report - IC is an SHL assessment designed to evaluate This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.

Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (see Digital Readiness Report - Managers).
The Job levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,.
It falls under the category of 'P', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is  minutes."
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,P,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.

Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (see Digital Readiness Report - IC).
The Job levels: Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director,",,"Digital Readiness Development Report - Manager is an SHL assessment designed to evaluate This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.

Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (see Digital Readiness Report - IC).
The Job levels: Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director,.
It falls under the category of 'P', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is  minutes."
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",10,"Docker (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 10 minutes."
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",11,"Dojo (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 11 minutes."
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,Yes,No,K,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",17,"Drupal (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 17 minutes."
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,P,"DSI v1.1 Interpretation Report
Languages allowed: Portuguese (Brazil), Dutch, Finnish, French, Latin American Spanish, Norwegian, Swedish, English (USA), English International, Chinese Simplified, Chinese Traditional, Danish, German, Icelandic, Italian, Russian,",,"DSI v1.1 Interpretation Report is an SHL assessment designed to evaluate DSI v1.1 Interpretation Report
Languages allowed: Portuguese (Brazil), Dutch, Finnish, French, Latin American Spanish, Norwegian, Swedish, English (USA), English International, Chinese Simplified, Chinese Traditional, Danish, German, Icelandic, Italian, Russian,.
It falls under the category of 'P', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is  minutes."
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,Yes,No,K,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",11,"Econometrics (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 11 minutes."
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,Yes,No,K,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",13,"Economics (New) is an SHL assessment designed to evaluate Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 13 minutes."
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,K,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",14,"Electrical and Electronics Engineering (New) is an SHL assessment designed to evaluate Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 14 minutes."
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,Yes,No,K,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",8,"Electrical Engineering (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 8 minutes."
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,K,"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",15,"Electronics & Telecommunications Engineering (New) is an SHL assessment designed to evaluate Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 15 minutes."
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,K,"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",18,"Electronics and Embedded Systems Engineering (New) is an SHL assessment designed to evaluate Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 18 minutes."
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,K,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",7,"Electronics and Semiconductor Engineering (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.
The Job levels: Graduate, Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 7 minutes."
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,Yes,No,K,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.
The Job levels: Entry-Level,
Languages allowed: English (USA),",0,"English Comprehension (New) is an SHL assessment designed to evaluate Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.
The Job levels: Entry-Level,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 0 minutes."
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,K,"Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),",4,"Enterprise Java Beans (New) is an SHL assessment designed to evaluate Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.
The Job levels: Mid-Professional, Professional Individual Contributor,
Languages allowed: English (USA),.
It falls under the category of 'K', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 4 minutes."
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/,Yes,No,P,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .
The Job levels: Director, Executive, Manager, Mid-Professional,",,"Enterprise Leadership Report 1.0 is an SHL assessment designed to evaluate Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .
The Job levels: Director, Executive, Manager, Mid-Professional,.
It falls under the category of 'P', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is  minutes."
Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,P,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .
The Job levels: Director, Executive, Manager, Mid-Professional,",,"Enterprise Leadership Report 2.0 is an SHL assessment designed to evaluate Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .
The Job levels: Director, Executive, Manager, Mid-Professional,.
It falls under the category of 'P', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is  minutes."
Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,"C, P","The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds.
Report Language Availability: English (USA)
The Job levels: Entry-Level,
Languages allowed: English (USA), English International, French (Canada), German, Italian, French, Dutch, Norwegian, Finnish, Swedish, Danish, Arabic, Chinese Simplified, Latin American Spanish,",19,"Entry Level Cashier Solution is an SHL assessment designed to evaluate The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds.
Report Language Availability: English (USA)
The Job levels: Entry-Level,
Languages allowed: English (USA), English International, French (Canada), German, Italian, French, Dutch, Norwegian, Finnish, Swedish, Danish, Arabic, Chinese Simplified, Latin American Spanish,.
It falls under the category of 'C, P', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 19 minutes."
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,"P, C","The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
Report Language Availability: English (USA)
The Job levels: Entry-Level,
Languages allowed: Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic, English International, English (USA), French (Canada), Italian, Dutch, Norwegian, Finnish, Danish,",19,"Entry Level Customer Serv-Retail & Contact Center is an SHL assessment designed to evaluate The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
Report Language Availability: English (USA)
The Job levels: Entry-Level,
Languages allowed: Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic, English International, English (USA), French (Canada), Italian, Dutch, Norwegian, Finnish, Danish,.
It falls under the category of 'P, C', which includes:
A = Ability & Aptitude, B = Biodata & Situational Judgement, C = Competencies,
D = Development & 360, E = Assessment Exercises, K = Knowledge & Skills, P = Personality & Behavior.
The typical duration for this assessment is 19 minutes."
